epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.57,1.74018,1.83147,1.65098,0.5934,0.63636,0.53725,0.23946,1.80954,3.51249,1.90995,0.000662162,0.000662162,0.000662162
2,312.868,1.77574,1.37494,1.6528,0.33057,0.52603,0.33482,0.15506,2.00286,3.34041,2.09595,0.00131567,0.00131567,0.00131567
3,477.358,1.78381,1.34982,1.65826,0.76294,0.52964,0.55483,0.24647,2.10271,2.28617,2.15972,0.00195598,0.00195598,0.00195598
4,648.237,1.74183,1.31105,1.63384,0.82729,0.78656,0.78833,0.38918,1.64103,1.1336,1.73963,0.0019406,0.0019406,0.0019406
5,796.534,1.70191,1.22432,1.59181,0.82712,0.74699,0.81832,0.38992,1.67293,1.25569,1.78282,0.0019208,0.0019208,0.0019208
6,933.989,1.66463,1.16995,1.57498,0.90283,0.80237,0.87254,0.4349,1.67079,1.04109,1.72716,0.001901,0.001901,0.001901
7,1059.08,1.6563,1.14311,1.54797,0.88931,0.90503,0.92378,0.46925,1.58951,0.95724,1.68096,0.0018812,0.0018812,0.0018812
8,1196.51,1.60132,1.0612,1.51477,0.90497,0.89921,0.9292,0.49379,1.60784,0.84352,1.69452,0.0018614,0.0018614,0.0018614
9,1342.24,1.5943,1.03828,1.50843,0.92318,0.90251,0.93788,0.50791,1.45667,0.83312,1.59966,0.0018416,0.0018416,0.0018416
10,1485.4,1.56569,0.9994,1.49529,0.88484,0.85968,0.89029,0.47392,1.5786,0.91441,1.67274,0.0018218,0.0018218,0.0018218
11,1640.25,1.53861,0.97924,1.47053,0.89409,0.90092,0.91154,0.50868,1.46511,0.87142,1.58001,0.001802,0.001802,0.001802
12,1783.89,1.53798,0.98997,1.46428,0.93062,0.91897,0.94666,0.53873,1.39655,0.80181,1.50802,0.0017822,0.0017822,0.0017822
13,1924.89,1.52765,0.95769,1.4664,0.89077,0.89526,0.91782,0.50141,1.45043,0.78887,1.54254,0.0017624,0.0017624,0.0017624
14,2062.69,1.51628,0.94247,1.45536,0.9226,0.90711,0.94766,0.51317,1.45106,0.79131,1.54272,0.0017426,0.0017426,0.0017426
15,2195.12,1.49675,0.92707,1.44069,0.90609,0.93435,0.93956,0.53782,1.3705,0.72877,1.52251,0.0017228,0.0017228,0.0017228
16,2332.68,1.48654,0.91323,1.436,0.95207,0.94664,0.96088,0.55046,1.38702,0.70722,1.51397,0.001703,0.001703,0.001703
17,2467.03,1.47611,0.8985,1.43214,0.92949,0.917,0.94996,0.5457,1.38537,0.73383,1.48513,0.0016832,0.0016832,0.0016832
18,2601.49,1.46449,0.89007,1.41654,0.92728,0.93245,0.94692,0.54525,1.37353,0.70059,1.4635,0.0016634,0.0016634,0.0016634
19,2738.57,1.47772,0.87965,1.42449,0.93458,0.93172,0.95103,0.56242,1.33763,0.7104,1.44638,0.0016436,0.0016436,0.0016436
20,2871.75,1.46242,0.88088,1.41519,0.95747,0.93433,0.95231,0.57245,1.31529,0.63321,1.41185,0.0016238,0.0016238,0.0016238
21,3003.77,1.44979,0.84381,1.40345,0.93664,0.94664,0.9602,0.56364,1.36739,0.66165,1.49228,0.001604,0.001604,0.001604
22,3138.41,1.44462,0.84323,1.3959,0.96175,0.9585,0.97031,0.58256,1.30511,0.62242,1.42542,0.0015842,0.0015842,0.0015842
